title,slug,date,summary,tags,status,type
Example,adding-http-response-headers-to-a-netlify-static-website,2024/03/21,"Eros vel condimentum elementum, ipsum ex ultricies neque, et consequat risus neque quis felis. Praesent ut lectus hendrerit sem eleifend cursus. Nunc eget pulvinar nisi. Duis vel orci nec mauris lacinia rutrum.","Jekyll, Website",Published,Post
测试空数据,About2,,,,,
About，H难过。,about， https://www.google.com，终于,2021/03/13,,"Jekyll, Website",Published,Page
Adding HTTP response headers to a Netlify static website,adding-http-response-headers-to-a-netlify-static-website,2021/03/25,"Eros vel condimentum elementum, ipsum ex ultricies neque, et consequat risus neque quis felis. Praesent ut lectus hendrerit sem eleifend cursus. Nunc eget pulvinar nisi. Duis vel orci nec mauris lacinia rutrum.","Jekyll, Website",Published,Post
Applying the active class for the current page in Jekyll,applying-the-active-class-for-the-current-page-in-jekyll,2021/03/25,"Donec laoreet ut orci nec congue. Nam imperdiet tellus non dapibus convallis. Nam vitae luctus est. Mauris sit amet nisl scelerisque, ornare tortor sit amet, ornare felis. Maecenas arcu urna, faucibus et aliquam quis, blandit ac mauris.","Jekyll, Website",Published,Post
Creating navigation menu in Jekyll,creating-navigation-menu-in-jekyll,2021/03/25,"Eros vel condimentum elementum, ipsum ex ultricies neque, et consequat risus neque quis felis. Praesent ut lectus hendrerit sem eleifend cursus. Nunc eget pulvinar nisi. Duis vel orci nec mauris lacinia rutrum.","Jekyll, Website",Published,Post
CSS hacks you may not know,css-hacks-you-may-not-know,2021/03/25,"Curabitur sapien sapien, lacinia eget felis vitae, consectetur dignissim lacus.","Jekyll, Website",Published,Post
Custom 404 page for Jekyll on Github pages,custom-404-page-for-jekyll-on-github-pages,2021/03/25,"Proin fringilla arcu in neque tincidunt, nec auctor quam interdum. Aenean sollicitudin viverra turpis, at fermentum quam scelerisque vitae. In aliquet velit mauris, a placerat massa laoreet in. Phasellus blandit, ex a maximus accumsan, neque urna egestas augue, quis aliquet ipsum magna eu neque.","Jekyll, Website",Published,Post
Difference between font formats,difference-between-font-formats,2021/03/25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse a consequat augue, non cursus odio. Nullam suscipit hendrerit neque, tristique malesuada dui cursus at. Maecenas elementum odio ac erat accumsan, non aliquam ipsum viverra. Aenean dapibus accumsan lobortis.","Jekyll, Website",Published,Post
Disable Jekyll's default syntax highlighter Rouge,disable-jekylls-default-syntax-highlighter-rouge,2021/03/25,"Morbi tortor sem, bibendum eu arcu a, elementum vehicula lectus. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean commodo dui magna, vitae molestie dolor aliquet sit amet.","Jekyll, Website",Published,Post
Displaying GitHub Gists in Jekyll sites,displaying-github-gists-in-jekyll-sites,2021/03/25,"Quisque congue pharetra ligula, a molestie justo volutpat hendrerit.","Jekyll, Website",Published,Post
Experiment,experiment,2021/03/13,About me,,Published,Page
How to add an RSS feed to a Jekyll blog,how-to-add-an-rss-feed-to-a-jekyll-blog,2021/03/25,"Curabitur sapien sapien, lacinia eget felis vitae, consectetur dignissim lacus.","Jekyll, Website",Published,Post
Image caption in Jekyll,image-captions-in-jekyll,2021/03/25,Donec ullamcorper ante non dui molestie vestibulum. Duis sed ligula ac augue placerat mollis.,"Jekyll, Website",Published,Post
Install Jekyll on Mac OS,install-jekyll-on-mac-os,2021/03/25,"Integer fringilla orci ut nunc viverra, vel blandit mi commodo. Morbi congue feugiat ex at cursus. Nulla interdum eu nulla sed blandit. Integer finibus nulla a elit facilisis, vitae suscipit eros gravida. Integer non dignissim ligula.","Jekyll, Website",Published,Post
Jekyll reading time without plugins,jekyll-reading-time-without-plugins,2021/03/25,"Aliquam placerat ipsum vel scelerisque hendrerit. Quisque congue consequat elit at consequat. Phasellus blandit placerat ex, vel mollis mauris malesuada id.",Website,Published,Post
Next for Vercel,next-for-vercel,2021/03/11,What's Next,Website,Published,Post
Page specific assets in Jekyll,page-specific-assets-in-jekyll,2021/03/25,In in mi a justo tincidunt tincidunt fermentum vel orci.,Website,Published,Post
Places where you can learn how to code,places-where-you-can-learn-how-to-code,2021/03/25,"Aliquam placerat ipsum vel scelerisque hendrerit. Quisque congue consequat elit at consequat. Phasellus blandit placerat ex, vel mollis mauris malesuada id.",Cooking,Published,Post
Playground,playground,2021/03/11 5:00 AM (GMT+8) → 2021/03/20 7:00 AM (GMT+8),THIS IS MY PLAYGROUND,,Published,Page
You Can Thank Us Later - 3 Reasons To Stop Thinking About REACT-NOTION,react-notion-is-better,2021/03/16,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.",Website,Published,Post
Redirect Jekyll URLs,redirect-jekyll-urls,2021/03/25,"Donec in mauris eu tellus fermentum viverra convallis eget orci. Nunc nunc nisi, bibendum nec libero quis, posuere ultricies leo. Proin consectetur ipsum eu libero luctus, non ultricies lectus suscipit.",Cooking,Published,Post
Looking for more good science fiction book titles,sci-fi-title-generator,2022/03/04,"Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.",Website,Published,Post
Showing the word count in Jekyll,showing-the-word-count,2021/03/25,"Nullam ac convallis quam. Curabitur viverra dictum dui, nec scelerisque dui viverra sed.",Cooking,Published,Post
Staticman comments on a Jekyll site,staticman-comments-on-a-jekyll-site,2021/03/25,"Donec in mauris eu tellus fermentum viverra convallis eget orci. Nunc nunc nisi, bibendum nec libero quis, posuere ultricies leo. Proin consectetur ipsum eu libero luctus, non ultricies lectus suscipit.",Cooking,Published,Post
Structured Data markup validation and testing tools,structured-data-markup-validation-and-testing-tools,2021/03/25,"Sed tincidunt rutrum orci eget suscipit. Sed egestas dignissim felis. Nullam tincidunt, lorem at eleifend imperdiet, est leo luctus mi, tincidunt gravida ante dolor eget neque. Suspendisse euismod.",Cooking,Published,Post
Syntax highlight with Rouge in Jekyll,syntax-highlight-with-rouge-in-jekyll,2021/03/25,"Sed tincidunt rutrum orci eget suscipit. Sed egestas dignissim felis. Nullam tincidunt, lorem at eleifend imperdiet, est leo luctus mi, tincidunt gravida ante dolor eget neque. Suspendisse euismod.",Cooking,Published,Post
Top monospaced fonts for coding,top-monospaced-fonts-for-coding,2021/03/25,In in mi a justo tincidunt tincidunt fermentum vel orci.,Cooking,Published,Post
Top plugins for Wordpress websites,top-plugins-for-wordpress-websites,2021/03/25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse a consequat augue, non cursus odio. Nullam suscipit hendrerit neque, tristique malesuada dui cursus at. Maecenas elementum odio ac erat accumsan, non aliquam ipsum viverra. Aenean dapibus accumsan lobortis.","Cooking, Jekyll, Website",Published,Post
What Make VS CODE Don't Want You To Know,what-make-vs-code,2021/03/16,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pulvinar mollis tincidunt. Donec ac cursus massa, ac dignissim erat. Maecenas sit amet mauris diam. Duis faucibus justo eu imperdiet venenatis. 这是加粗的文字","Book, Cooking, Design, Jekyll, Sociology, TEMP, Website",Published,Post
,,,,,,